"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"AC234917.1",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"AL591222.1",1.53234661420044,-1.63597809928156,0.936458066731073,-1.74698489703049,0.0806399579380897,0.150505154837434,0,0.000743586565869377
"AL353753.1",1.89515102049152,-0.714647800999965,0.853105108235144,-0.83770193625776,0.402198125719057,0.479696920488909,0.00210970464135021,0.00458545048952782
"FOXE1",1.70533724393995,-0.798657273038728,0.904276298133367,-0.883200493795248,0.377127954857122,0.455832864329563,0,0.0152435246003222
"LINC01613",1.54120996971239,-1.55383112241264,0.913177559752409,-1.70156516201945,0.0888369128737277,0.157737913205413,0,0.00260255298054282
"AL590677.1",1.53647228527831,-1.64683388986732,0.904594681258528,-1.82052130527249,0.0686796547639752,0.137873467961794,0,0.000991448754492502
"ZNF32-AS2",1.51186838354552,-1.87221617110173,0.957190512314747,-1.95594936119268,0.0504711196965147,NA,0,0.000123931094311563
"PCDH15",2.08652817754516,-1.71158411491857,0.903388261128172,-1.89462735854139,0.0581417876192493,0.125468158197934,0.00210970464135021,0.000123931094311563
"AC024597.1",1.54508540318327,-1.60660166478999,0.926127912215088,-1.73475137030193,0.0827848530568232,0.152890765424164,0,0.000743586565869377
"AL139240.1",1.52503151087935,-1.71513581019736,0.942218306787166,-1.82031679690638,0.0687107748908208,NA,0,0.000495724377246251
"TUB-AS1",1.67098590488824,-1.89358979051624,0.889248875536792,-2.12942612873497,0.0332190206054163,0.0882199611935838,0.00210970464135021,0.000743586565869377
"AC104009.1",1.99754217376613,-0.372621652298141,0.880548274365101,-0.423170044330404,0.6721712008065,0.727682589752071,0.00210970464135021,0.00718800347007064
"FBXO3-DT",1.56116239591316,-1.46509038157027,0.909056332679117,-1.61166071771641,0.107035790209468,0.177024868598627,0,0.000991448754492502
